#Frame      Mn1_Ox_OZ    Mn1_Ox_OY    Mn1_Ox_OX
     634       2.0904       4.1099       2.4007
     635       2.0883       3.8858       2.3011
     636       2.0161       3.9256       2.3234
     637       2.1055       4.0753       2.2745
     638       2.0957       4.0379       2.2696
     639       2.2359       4.2129       2.4435
     640       2.0273       4.0477       2.5165
     641       2.0016       3.9562       2.3954
     642       2.1185       4.0843       2.3945
     643       2.1477       4.1454       2.3723
     644       1.9794       3.9091       2.3829
     645       1.8838       3.8454       2.2511
     646       2.1028       4.1130       2.3164
     647       2.1313       4.1097       2.4505
     648       2.0953       3.9993       2.2546
     649       2.0669       4.0300       2.2692
     650       2.0714       3.9621       2.0824
     651       2.1143       3.9599       2.3362
     652       2.0441       3.8483       2.4147
     653       2.0662       4.0094       2.3398
     654       2.0713       4.0356       2.2875
     655       2.0411       4.0990       2.3190
     656       2.1168       4.0573       2.3229
     657       1.9143       3.8363       2.3765
     658       2.0399       4.0792       2.4320
     659       2.1848       4.0822       2.4602
     660       2.1358       4.1564       2.2124
     661       2.1122       4.0144       2.3372
     662       1.9837       3.9371       2.2623
     663       2.1149       4.1454       2.2819
     664       2.0943       4.1674       2.5447
     665       2.0436       4.0290       2.3788
     666       2.0582       3.9370       2.2931
     667       1.9979       4.0102       2.3356
     668       2.1118       4.0157       2.2456
     669       1.9839       4.0068       2.5440
     670       2.2226       4.1811       2.4524
     671       2.0414       4.0091       2.1844
     672       2.0120       4.0166       2.2815
     673       2.0596       4.0250       2.3965
     674       2.2742       4.2121       2.3345
     675       2.0820       4.0298       2.4948
     676       2.0075       4.0193       2.3859
     677       2.1341       3.8481       2.3622
     678       2.1239       4.0707       2.2974
     679       1.9961       3.8546       2.3513
     680       2.0823       4.0635       2.4040
     681       2.1349       4.1414       2.5199
     682       2.0188       4.0988       2.5030
     683       2.1098       4.1086       2.4005
     684       2.0406       4.0499       2.3085
     685       2.0746       4.0050       2.2987
     686       2.0299       3.9074       2.3173
     687       2.2083       4.1835       2.1849
     688       2.1463       4.0994       2.5811
     689       2.0680       4.0502       2.2537
     690       2.2285       4.1293       2.4499
     691       2.0447       4.0437       2.4023
     692       2.0578       4.1195       2.5783
     693       2.0013       4.0331       2.2238
     694       2.1378       4.1207       2.4153
     695       2.0928       4.1014       2.4943
     696       2.1005       4.1087       2.3339
     697       2.0184       4.0572       2.2921
     698       2.0663       3.9715       2.2620
     699       2.0915       4.1082       2.1972
     700       2.0919       3.9871       2.2192
     701       2.0111       4.0074       2.2642
     702       2.0784       4.0767       2.3018
     703       2.0257       4.0381       2.3439
     704       2.0358       3.9274       2.3851
     705       2.1029       4.1512       2.1992
     706       2.2533       4.1822       2.3687
     707       2.1376       4.0117       2.3935
     708       2.0224       4.0950       2.4257
     709       2.0429       4.0065       2.3922
     710       2.0989       4.0324       2.3851
     711       2.1142       4.0917       2.3110
     712       2.0952       4.1085       2.2579
     713       2.0088       4.0326       2.4497
     714       2.1701       4.1265       2.2900
     715       2.0976       4.1079       2.3849
     716       2.2313       4.1738       2.3670
     717       2.2039       4.1752       2.4438
     718       2.0602       4.0741       2.3610
     719       1.9662       3.8923       2.2746
     720       2.0362       3.9820       2.3322
     721       2.1067       3.9854       2.4687
     722       2.1361       4.0692       2.2987
     723       2.0952       4.0744       2.4864
     724       1.9670       4.0239       2.4148
     725       2.1302       4.1289       2.2180
     726       1.9927       3.9128       2.3243
     727       2.1178       4.0346       2.3272
     728       1.9760       3.9761       2.4854
     729       1.9987       3.9205       2.0902
     730       2.0350       4.0139       2.3832
     731       2.1592       4.0904       2.1733
     732       2.0926       4.0718       2.5036
     733       2.1829       4.1417       2.2498
     734       2.1696       4.1172       2.1078
     735       2.1645       4.0826       2.3382
     736       2.0125       3.9951       2.3223
     737       2.1157       4.1094       2.2991
     738       2.1014       3.9777       2.2466
     739       2.0819       3.9796       2.2491
     740       2.0356       4.0334       2.3664
     741       2.0161       4.0268       2.3634
     742       2.0201       4.0386       2.4317
     743       1.9576       3.9252       2.3246
     744       2.0349       3.9018       2.1601
     745       2.1204       4.1114       2.2887
     746       2.0868       3.9385       2.2488
     747       2.0646       4.0665       2.2991
     748       1.9422       3.9610       2.3752
     749       2.1649       4.1484       2.2899
     750       2.0173       4.0236       2.3676
     751       2.1184       3.9992       2.4626
     752       2.0950       4.0452       2.3762
     753       2.0242       3.9817       2.5164
     754       1.9924       3.9611       2.4955
     755       2.1438       4.0916       2.2752
     756       2.0789       4.0517       2.3197
     757       2.1156       4.0898       2.6187
     758       2.0927       3.9705       2.3529
     759       2.1466       4.1542       2.4953
     760       2.0705       4.0219       2.4358
     761       2.0647       4.0559       2.3715
     762       2.1300       4.1435       2.4506
     763       2.0768       3.9371       2.3906
