#Frame            RoG     RoG[Max]
     889      23.9863      45.6814
     890      24.1529      46.8565
     891      24.0738      46.9189
     892      24.1590      46.7394
     893      24.0484      45.9845
     894      24.0727      45.9102
     895      24.0445      46.1603
     896      24.1770      46.5178
     897      24.1141      46.4239
     898      24.0971      46.7052
     899      24.0009      45.3432
     900      24.0046      45.1692
     901      23.9557      45.4750
     902      24.0532      45.8446
     903      24.1458      45.9019
     904      24.0782      46.2931
     905      24.0146      45.7745
     906      24.2904      47.0128
     907      24.1507      46.5643
     908      24.1862      47.5515
     909      24.1331      47.1407
     910      24.1156      46.7252
     911      23.9853      46.9509
     912      23.9495      45.8160
     913      24.0458      46.2572
     914      24.1280      46.1156
     915      23.9820      45.9814
     916      23.9909      45.6177
     917      24.1080      46.4604
     918      24.1394      46.7126
     919      24.1298      46.6851
     920      24.1802      46.8988
     921      24.0930      46.8305
     922      24.0541      46.5263
     923      23.9913      45.9916
     924      24.1318      46.8561
     925      24.1241      47.6833
     926      24.0556      46.5663
     927      24.2602      47.8034
     928      24.1522      47.2830
     929      24.1897      47.4693
     930      24.1480      47.3977
     931      24.2912      47.9211
     932      24.2055      47.1374
     933      24.2346      47.2884
     934      24.1369      47.0959
     935      24.1341      46.0985
     936      24.1363      46.8838
     937      24.1569      47.1832
     938      24.2616      47.2591
     939      24.2634      47.3230
     940      24.1715      46.3812
     941      24.1745      46.0195
     942      24.2015      47.0112
     943      24.2798      46.9145
     944      24.1472      46.8266
     945      24.1465      46.7271
     946      24.2011      46.9902
     947      24.1412      46.8118
     948      23.9759      46.3313
     949      24.0374      46.3128
     950      23.9362      45.9130
     951      23.9782      46.1335
     952      23.9691      46.3998
     953      24.2191      46.6436
     954      24.1415      46.6289
     955      24.1060      45.9214
     956      24.1308      45.8888
     957      24.1888      47.4641
     958      24.1038      46.9592
     959      24.1471      46.6804
     960      24.2904      47.1607
     961      24.1303      46.8368
     962      24.1341      47.4442
     963      24.1798      46.8514
     964      24.0987      46.8001
     965      24.2438      47.1409
     966      24.2282      47.2276
     967      24.1664      47.1439
     968      24.0735      45.8850
     969      24.0388      45.8887
     970      24.0832      46.0748
     971      23.9711      46.1424
     972      23.9771      46.0322
     973      24.0517      46.7044
     974      24.0692      47.0321
     975      24.1848      47.7724
     976      24.1510      47.6207
     977      24.2836      47.4893
     978      24.2281      47.3159
     979      24.0876      46.3320
     980      24.2713      47.2393
     981      24.2336      47.0059
     982      24.2001      46.4460
     983      24.1091      46.7393
     984      24.0787      46.6991
     985      24.1124      46.4035
     986      24.1088      46.3309
     987      24.0616      45.7115
     988      24.0038      46.2616
     989      24.1100      46.1587
     990      24.0662      46.1465
     991      23.9408      45.8384
     992      23.9754      46.0010
     993      23.9575      45.8230
     994      24.0705      46.0216
     995      24.1247      46.7500
     996      24.0905      47.3934
     997      24.2793      47.4345
     998      24.1005      46.4398
     999      24.2029      46.9979
    1000      24.0930      46.6974
    1001      24.1477      46.6431
    1002      24.1717      46.6034
    1003      24.0506      46.2411
    1004      24.0629      46.0725
    1005      24.1274      46.4040
    1006      24.1326      46.9665
    1007      24.0852      46.4090
    1008      24.0660      46.4585
    1009      24.2080      46.5931
    1010      24.1589      46.6841
    1011      24.1468      46.6764
    1012      24.1658      46.9822
    1013      24.0124      45.9770
    1014      24.0883      46.1941
    1015      24.0613      47.0520
    1016      24.0090      46.3113
    1017      24.0605      46.9798
    1018      24.1463      46.6866
    1019      24.1342      46.9818
    1020      24.2674      47.1606
    1021      24.3026      47.7155
    1022      24.2475      46.7898
    1023      24.0580      46.6335
    1024      24.0496      46.1766
    1025      24.1144      46.9229
    1026      24.1804      46.8898
    1027      24.0704      47.2109
    1028      24.1042      47.4312
    1029      24.0562      46.3624
    1030      24.0799      47.6620
    1031      24.0283      46.9913
    1032      24.0879      46.6991
    1033      24.0984      47.0077
    1034      23.9698      46.5661
    1035      24.1856      47.7611
    1036      24.3289      47.9222
    1037      24.0943      46.9927
    1038      24.0976      46.8580
    1039      24.1821      46.4898
    1040      24.0230      45.6773
    1041      24.0904      45.9749
    1042      23.9719      45.9859
    1043      24.1148      46.7226
    1044      23.9814      46.3429
    1045      24.0526      45.9308
    1046      24.0176      46.3928
    1047      24.0914      46.7277
    1048      24.1513      46.9706
    1049      24.0826      46.9559
    1050      24.0597      46.6034
    1051      24.0315      46.9492
    1052      24.0337      46.1332
    1053      24.1966      47.4797
    1054      24.1790      47.0677
    1055      24.1113      47.0173
    1056      24.0542      47.6970
    1057      23.9916      47.0638
    1058      23.9764      46.9600
    1059      23.9967      46.8181
